,abbr,episode,title,stardate,original_airdate,production_number
657,ENT,2x14,Stigma,Unknown,2003-02-05,40358-040
658,ENT,2x15,Cease Fire,Unknown,2003-02-12,40358-041
659,ENT,2x16,Future Tense,Unknown,2003-02-19,40358-042
660,ENT,2x17,Canamar,Unknown,2003-02-26,40358-043
661,ENT,2x18,The Crossing,Unknown,2003-04-02,40358-044
662,ENT,2x19,Judgment,Unknown,2003-04-09,40358-045
663,ENT,2x20,Horizon,2153-01-10,2003-04-16,40358-046
664,ENT,2x21,The Breach,Unknown,2003-04-23,40358-047
665,ENT,2x22,Cogenitor,Unknown,2003-04-30,40358-048
666,ENT,2x23,Regeneration,2153-03-01,2003-05-07,40358-049
667,ENT,2x24,First Flight,Unknown,2003-05-14,40358-050
668,ENT,2x25,Bounty,2153-03-21,2003-05-14,40358-051
669,ENT,2x26,The Expanse,2153-04-24,2003-05-21,40358-052
670,ENT,3x01,The Xindi,Unknown,2003-09-10,40358-053
671,ENT,3x02,Anomaly,Unknown,2003-09-17,40358-054
672,ENT,3x03,Extinction,Unknown,2003-09-24,40358-055
673,ENT,3x04,Rajiin,Unknown,2003-10-01,40358-056
674,ENT,3x05,Impulse,Unknown,2003-10-08,40358-057
675,ENT,3x06,Exile,Unknown,2003-10-15,40358-058
676,ENT,3x07,The Shipment,Unknown,2003-10-29,40358-059
677,ENT,3x08,Twilight,Unknown,2003-11-05,40358-060
678,ENT,3x09,North Star,Unknown,2003-11-12,40358-061
679,ENT,3x10,Similitude,Unknown,2003-11-19,40358-062
680,ENT,3x11,Carpenter Street,Unknown,2003-11-26,40358-063
681,ENT,3x12,Chosen Realm,Unknown,2004-01-14,40358-064
682,ENT,3x13,Proving Ground,2153-12-06,2004-01-21,40358-065
683,ENT,3x14,Stratagem,2153-12-12,2004-02-04,40358-066
684,ENT,3x15,Harbinger,2153-12-27,2004-02-11,40358-067
685,ENT,3x16,Doctor's Orders,Unknown,2004-02-18,40358-068
686,ENT,3x17,Hatchery,2154-01-08,2004-02-25,40358-069
687,ENT,3x18,Azati Prime,2154-01,2004-03-03,40358-070
688,ENT,3x19,Damage,Unknown,2004-04-21,40358-071
689,ENT,3x20,The Forgotten,Unknown,2004-04-28,40358-072
690,ENT,3x21,E²,Unknown,2004-05-05,40358-073
691,ENT,3x22,The Council,2154-02-12,2004-05-12,40358-074
692,ENT,3x23,Countdown,2154-02-13,2004-05-19,40358-075
693,ENT,3x24,Zero Hour,2154-02-14,2004-05-26,40358-076
694,ENT,4x01,Storm Front,Unknown,2004-10-08,40358-077
695,ENT,4x02,"Storm Front, Part II",Unknown,2004-10-15,40358-078
696,ENT,4x03,Home,Unknown,2004-10-22,40358-079
697,ENT,4x04,Borderland,2154-05-17,2004-10-29,40358-080
698,ENT,4x05,Cold Station 12,Unknown,2004-11-05,40358-081
699,ENT,4x06,The Augments,2154-05-27,2004-11-12,40358-082
700,ENT,4x07,The Forge,Unknown,2004-11-19,40358-083
701,ENT,4x08,Awakening,Unknown,2004-11-26,40358-084
702,ENT,4x09,Kir'Shara,Unknown,2004-12-03,40358-085
703,ENT,4x10,Daedalus,Unknown,2005-01-14,40358-086
704,ENT,4x11,Observer Effect,Unknown,2005-01-21,40358-087
705,ENT,4x12,Babel One,2154-11-12,2005-01-28,40358-088
706,ENT,4x13,United,2154-11-15,2005-02-04,40358-089
707,ENT,4x14,The Aenar,Unknown,2005-02-11,40358-090
708,ENT,4x15,Affliction,2154-11-27,2005-02-18,40358-091
709,ENT,4x16,Divergence,2154-12,2005-02-25,40358-092
710,ENT,4x17,Bound,2154-12-27,2005-04-15,40358-093
711,ENT,4x18,"In a Mirror, Darkly",2155-01-13,2005-04-22,40358-094
712,ENT,4x19,"In a Mirror, Darkly, Part II",2155-01-18,2005-04-29,40358-095
713,ENT,4x20,Demons,2155-01-19,2005-05-06,40358-096
714,ENT,4x21,Terra Prime,2155-01-22,2005-05-13,40358-097
715,ENT,4x22,These Are the Voyages...,47457.1,2005-05-13,40358-098
716,DIS,1x01,The Vulcan Hello,1207.3,2017-09-24,101
717,DIS,1x02,Battle at the Binary Stars,1207.3,2017-09-24,102
718,DIS,1x03,Context Is for Kings,Unknown,2017-10-01,103
719,DIS,1x04,The Butcher's Knife Cares Not for the Lamb's Cry,Unknown,2017-10-08,104
720,DIS,1x05,Choose Your Pain,Unknown,2017-10-15,105
721,DIS,1x06,Lethe,Unknown,2017-10-22,106
722,DIS,1x07,Magic to Make the Sanest Man Go Mad,2136.8-2137.2,2017-10-29,107
723,DIS,1x08,"Si Vis Pacem, Para Bellum",1308.9,2017-11-05,108
724,DIS,1x09,Into the Forest I Go,Unknown,2017-11-12,109
725,DIS,Chapter Two,Chapter Two,Chapter Two,Chapter Two,Chapter Two
726,DIS,1x10,Despite Yourself,Unknown,2018-01-07,110
727,DIS,1x11,The Wolf Inside,Unknown,2018-01-14,111
728,DIS,1x12,Vaulting Ambition,Unknown,2018-01-21,112
729,DIS,1x13,What's Past Is Prologue,1834.2,2018-01-28,113
730,DIS,1x14,"The War Without, The War Within",Unknown,2018-02-04,114
731,DIS,1x15,Will You Take My Hand?,Unknown,2018-02-11,115
732,DIS,2x01,Brother,1025.19,2019-01-17,201
733,DIS,2x02,New Eden,1027.32,2019-01-24,202
734,DIS,2x03,Point of Light,1029.46,2019-01-31,203
735,DIS,2x04,An Obol for Charon,1834.2512,2019-02-07,204
736,DIS,2x05,Saints of Imperfection,Unknown,2019-02-14,205
737,DIS,2x06,The Sound of Thunder,1035.86,2019-02-21,206
738,DIS,2x07,Light and Shadows,Unknown,2019-02-28,207
739,DIS,2x08,If Memory Serves,1532.9,2019-03-07,208
740,DIS,2x09,Project Daedalus,Unknown,2019-03-14,209
741,DIS,2x10,The Red Angel,Unknown,2019-03-21,210
742,DIS,2x11,Perpetual Infinity,Unknown,2019-03-28,211
743,DIS,2x12,Through the Valley of Shadows,1048.66,2019-04-04,212
744,DIS,2x13,Such Sweet Sorrow,1050.8-1051.8,2019-04-11,213
745,DIS,2x14,"Such Sweet Sorrow, Part 2",1201.7,2019-04-18,214
746,DIS,3x01,"That Hope Is You, Part 1",Unknown,2020-10-15,301
747,DIS,3x02,Far From Home,Unknown,2020-10-22,302
748,DIS,3x03,People of Earth,865211.3,2020-10-29,303-32
749,DIS,3x04,Forget Me Not,Unknown,2020-11-05,304
750,DIS,3x05,Die Trying,Unknown,2020-11-12,305
751,DIS,3x06,Scavengers,Unknown,2020-11-19,306
752,DIS,3x07,Unification III,Unknown,2020-11-26,307
753,DIS,3x08,The Sanctuary,Unknown,2020-12-03,308
754,DIS,3x09,"Terra Firma, Part 1",Unknown,2020-12-10,309
755,DIS,3x10,"Terra Firma, Part 2",Unknown,2020-12-17,310
756,DIS,3x11,Su'Kal,Unknown,2020-12-24,311
757,DIS,3x12,There Is A Tide...,Unknown,2020-12-31,312
758,DIS,3x13,"That Hope Is You, Part 2",Unknown,2021-01-07,313
759,DIS,4x01,Kobayashi Maru,Unknown,2021-11-18,401
760,DIS,4x02,Anomaly (DIS),Unknown,2021-11-25,402
761,DIS,4x03,Choose to Live,Unknown,2021-12-02,403
762,DIS,4x04,All Is Possible,865661.2,2021-12-09,404
763,DIS,4x05,The Examples,Unknown,2021-12-16,405
764,DIS,4x06,Stormy Weather,Unknown,2021-12-23,406
765,DIS,4x07,...But to Connect,Unknown,2021-12-30,407
766,DIS,"Hiatus for PRO Season 1, part 2","Hiatus for PRO Season 1, part 2","Hiatus for PRO Season 1, part 2","Hiatus for PRO Season 1, part 2","Hiatus for PRO Season 1, part 2"
767,DIS,Part 2,Part 2,Part 2,Part 2,Part 2
768,DIS,4x08,All In,Unknown,2022-02-10,408
769,DIS,4x09,Rubicon,Unknown,2022-02-17,409
770,DIS,4x10,The Galactic Barrier,Unknown,2022-02-24,410
771,DIS,4x11,Rosetta,865783.7,2022-03-03,411
772,DIS,4x12,Species Ten-C,Unknown,2022-03-10,412
773,DIS,4x13,Coming Home,Unknown,2022-03-17,413
774,PIC,1x01,Remembrance,2399,2020-01-23,101
775,PIC,1x02,Maps and Legends,2399 / 2385,2020-01-30,102a
776,PIC,1x03,The End is the Beginning,2399 / 2385,2020-02-06,102b
777,PIC,1x04,Absolute Candor,2399 / 2385,2020-02-13,103
778,PIC,1x05,Stardust City Rag,2399 / 2386,2020-02-20,104
779,PIC,1x06,The Impossible Box,2399,2020-02-27,105
780,PIC,1x07,Nepenthe,2399,2020-03-05,106
781,PIC,1x08,Broken Pieces,2399 / 2385,2020-03-12,107
782,PIC,1x09,"Et in Arcadia Ego, Part 1",2399,2020-03-19,108
783,PIC,1x10,"Et in Arcadia Ego, Part 2",2399,2020-03-26,109
784,PIC,2x01,The Star Gazer,2401,2022-03-03,201
785,PIC,2x02,Penance,2401,2022-03-10,202
786,PIC,2x03,Assimilation,"2401 / April 12, 2024",2022-03-17,203
787,PIC,2x04,Watcher,"April 12, 2024",2022-03-24,204
788,PIC,2x05,Fly Me to the Moon,"April 12, 2024",2022-03-31,205
789,PIC,2x06,Two of One,"April 12, 2024",2022-04-07,206
790,PIC,2x07,Monsters,"April 13, 2024",2022-04-14,207
791,PIC,2x08,Mercy,"April 13-14, 2024",2022-04-21,208
792,PIC,2x09,Hide and Seek,"April 14, 2024",2022-04-28,209
793,PIC,2x10,Farewell,Unknown,2022-05-05,210
794,PIC,3x01,Episode 21,Unknown,2023-12-31,301
795,PIC,3x02,Episode 22,Unknown,2023-12-31,302
796,PIC,3x03,Episode 23,Unknown,2023-12-31,303
797,PIC,3x04,Episode 24,Unknown,2023-12-31,304
798,PIC,3x05,Episode 25,Unknown,2023-12-31,305
799,PIC,3x06,Episode 26,Unknown,2023-12-31,306
800,PIC,3x07,Episode 27,Unknown,2023-12-31,307
801,PIC,3x08,Episode 28,Unknown,2023-12-31,308
802,PIC,3x09,Episode 29,Unknown,2023-12-31,309
803,PIC,3x10,Episode 30,Unknown,2023-12-31,310
804,LD,1x01,Second Contact,57436.2,2020-08-06,LD-1001
805,LD,1x02,Envoys,Unknown,2020-08-13,LD-1002
806,LD,1x03,Temporal Edict,57501.4,2020-08-20,LD-1003
807,LD,1x04,Moist Vessel,57538.9,2020-08-27,LD-1004
808,LD,1x05,Cupid's Errant Arrow,57601.3,2020-09-03,LD-1005
809,LD,1x06,Terminal Provocations,57663.9,2020-09-10,LD-1006
810,LD,1x07,Much Ado About Boimler,57752.6,2020-09-17,LD-1007
811,LD,1x08,Veritas,Unknown,2020-09-24,LD-1008
812,LD,1x09,Crisis Point,Unknown,2020-10-01,LD-1009
813,LD,1x10,No Small Parts,Unknown,2020-10-08,LD-1010
814,LD,2x01,Strange Energies,Unknown,2021-08-12,LD-2001
815,LD,2x02,"Kayshon, His Eyes Open",58001.2,2021-08-19,LD-2002
816,LD,2x03,We'll Always Have Tom Paris,Unknown,2021-08-26,LD-2003
817,LD,2x04,"Mugato, Gumato",58036.4,2021-09-02,LD-2004
818,LD,2x05,An Embarrassment Of Dooplers,58053.9,2021-09-09,LD-2005
819,LD,2x06,The Spy Humongous,58105.1,2021-09-16,LD-2006
820,LD,2x07,Where Pleasant Fountains Lie,Unknown,2021-09-23,LD-2007
821,LD,2x08,"I, Excretus",Unknown,2021-09-30,LD-2008
822,LD,2x09,wej Duj,Unknown,2021-10-07,LD-2009
823,LD,2x10,First First Contact,58130.6,2021-10-14,LD-2010
824,LD,3x01,"""Grounded""",Unknown,2022-08-25,LD-3001
825,LD,3x02,"""The Least Dangerous Game""",Unknown,2022-09-01,LD-3002
826,LD,3x03,Episode 23,Unknown,2022-09-08,LD-3003
827,LD,3x04,Episode 24,Unknown,2022-09-15,LD-3004
828,LD,3x05,Episode 25,Unknown,2022-09-22,LD-3005
829,LD,3x06,Episode 26,Unknown,2022-09-29,LD-3006
830,LD,3x07,Episode 27,Unknown,2022-10-06,LD-3007
831,LD,3x08,Episode 28,Unknown,2022-10-13,LD-3008
832,LD,3x09,Episode 29,Unknown,2022-10-20,LD-3009
833,LD,3x10,Episode 30,Unknown,2022-10-27,LD-3010
